dataset,Model,Cleaned DN,Test_auc,Test_acc,Test_ap,,dataset,Model,Cleaned DN,Test_auc,Test_acc,Test_ap
MUTAG_1,SGC,MUTAG__SGC,0.5149496706706345,0.5058734939759036,0.5008532016694605,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetMUTAGlr00001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,MUTAG__SGC,0.5760244490358126,0.5231060606060606,0.5439620732356185
ogbg-molbbbp,GAT,ogbg-molbbbp__GAT,0.49833183436002565,0.49836817950025497,0.5205977157951239,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,ogbgmolbbbp__GAT,0.4963051213507372,0.4995229007633587,0.4995884501850639
ogbg-molbbbp,GCN,ogbg-molbbbp__GCN,0.5239975431157443,0.5200509943906171,0.5240242639339592,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,ogbgmolbbbp__GCN,0.5658112872210245,0.5003339694656489,0.5988157074549856
ogbg-molbbbp,GIN,ogbg-molbbbp__GIN,0.39789993397513623,0.4651657317695054,0.4203196992540289,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,ogbgmolbbbp__GIN,0.5819019142241129,0.5003339694656489,0.5692289334507241
ogbg-molbbbp,SGC,ogbg-molbbbp__SGC,0.5415390003071104,0.49608363080061196,0.5375932956299818,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,ogbgmolbbbp__SGC,0.5243032894353477,0.4956106870229008,0.5488338075229137
ogbg-molbbbp_1,GAT,ogbg-molbbbp__GAT,0.49833183436002565,0.49836817950025497,0.5205977157951239,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,ogbgmolbbbp__GAT,0.5502139619490667,0.5305958132045088,0.5484291963202939
ogbg-molbbbp_1,GCN,ogbg-molbbbp__GCN,0.5239975431157443,0.5200509943906171,0.5240242639339592,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GCN,ogbgmolbbbp__GCN,0.5694743297522825,0.5257246376811593,0.5957965222779685
ogbg-molbbbp_1,GIN,ogbg-molbbbp__GIN,0.39789993397513623,0.4651657317695054,0.4203196992540289,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GIN,ogbgmolbbbp__GIN,0.43073937288825614,0.495048309178744,0.45724207788888355
ogbg-molbbbp_1,SGC,ogbg-molbbbp__SGC,0.5415390003071104,0.49608363080061196,0.5375932956299818,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetogbgmolbbbplr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,ogbgmolbbbp__SGC,0.5644041673473514,0.500523349436393,0.5849053742220567
PTC,GAT,PTC__GAT,0.39446771605079567,0.42477396021699826,0.4424834234748829,,C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetPTClr0001beta1e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,GAT,PTC__GAT,0.4522794037187613,0.46474036850921285,0.49234357344382557
