dataset Name (DN),GNN,Cleaned DN,Test_auc,Test_acc,Test_ap,conf_mtrx,train_auc,train_acc,train_ap
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.712875720164609,0.5281481481481481,0.7346708597726442,"[[ 74 601]
 [ 36 639]]",0.8406809902849866,0.5542822677925211,0.8381240473164565
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7070573388203018,0.5133333333333333,0.7353393237130252,"[[ 62 613]
 [ 44 631]]",0.827417165157492,0.5591073582629674,0.8233311848727526
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00001beta4e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.682236488340192,0.52,0.7105451253119246,"[[ 58 617]
 [ 31 644]]",0.7915753797511434,0.5474467229593888,0.7973074841726943
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.7305119477044488,0.565843621399177,0.7371648773374562,"[[ 98 388]
 [ 34 452]]",0.816182099392273,0.5878035008469791,0.8162634999372487
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6794738268217921,0.5473251028806584,0.6877608300035768,"[[ 80 406]
 [ 34 452]]",0.7475433142214376,0.5827216261998871,0.7358378670279332
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.5247866178936139,0.5246913580246914,0.5226459583341553,"[[433  53]
 [409  77]]",0.5377741841788192,0.53613777526821,0.546253190301656
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6044683229182544,0.5967078189300411,0.5974516948012074,"[[394  92]
 [300 186]]",0.6242935862654518,0.6149068322981367,0.6166015089457979
,,,,,,,,,
C:/git/AAAI/Nips-2023/LastCandidates_AcuumulateiveReachability\reachactleakydatasetIMDBBINARYlr00003beta20e40000stepsofreachability3argstepnum2NumDecLayers4decoderFCR,SGC,IMDBBINARY__SGC,0.6817388948161697,0.5483539094650206,0.6944451063157032,"[[106 380]
 [ 59 427]]",0.7807650454767042,0.6005081874647092,0.7905909877679229
,,,,,,,,,
